PN,PNnoun,CorpName
4025767-901,"PANEL, TEMP. SELECT.",HONEYWELL
4026206-921,"CONTROLLER, INST. REMOTE",HONEYWELL
4026206-962,"CONTROLLER, INST. REMOTE",HONEYWELL
4026206-971,"CONTROLLER, INST. REMOTE",HONEYWELL
4030949-907,"PANEL, CONTROL",HONEYWELL
7001182-901,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
7001182-905,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
7002260-721,"SERVO, DRIVE ASSY",HONEYWELL
7005973-903,"CONTROLLER, REMOTE INSTRUMENT",HONEYWELL
7008471-204,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-408,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-414,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-688,"CONTROLLER, WEATHER RADAR",HONEYWELL
7008471-803,"CONTROLLER, WEATHER RADAR",HONEYWELL
700864,"LIGHT, STROBE",GOODRICH
851CM2,"TUBE, PITOT",GOODRICH
851JB,"TUBE, PITOT",GOODRICH
861CAE1,"SENSOR, ANGLE OF ATTACK",GOODRICH
861CAH,"SENSOR, ANGLE OF ATTACK",GOODRICH
AR4704-1,"STRIKE, DOUBLE ROLLER ELECTRIC",ADAMS RITE
10-1005-225,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-246,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-271,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-281,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-47,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-97,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1070-104,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
69-67178-1,"MODULE, OVHT/WING ANTI- ICE",BAE SYSTEMS
69-73079-7,"INDICATOR, APU OIL LEVEL",BAE SYSTEMS
69-73134-11,BACKPLATE,BAE SYSTEMS
69-73614-55,"MODULE, POWER MANAGEMENT CONTROL",BAE SYSTEMS
251A4410-2,"CUTOUT ACTUATED, SWITCH",BAE SYSTEMS
251T2010-11,"CONTROL, ELEVATOR POSITION",BAE SYSTEMS
251T2010-4,"CONTROL, ELEVATOR POSITION",BAE SYSTEMS
251T2010-6,"CONTROL, ELEVATOR POSITION",BAE SYSTEMS
255-5,AMPLIFIER,ASTRONICS ADVANCED
65-52804-59,"UNIT, AUDIO ACCESSORY ",BAE SYSTEMS
65-52805-116,"UNIT, FLIGHT INSTR ACCY",BAE SYSTEMS
65-52805-285,"UNIT, FLIGHT INSTR ACCY",BAE SYSTEMS
65-52805-333,"UNIT, FLIGHT INSTRUMENT ASSY",BAE SYSTEMS
65-52805-339,"UNIT, FLIGHT INSTRUMENT ASSY",BAE SYSTEMS
